Algeria,97.35583
Argentina,104.62379
Armenia,103.02998
Aruba,95.14321
Austria,103.69019
Azerbaijan,98.49185
Bahamas,100.88828
Barbados,95.43974
Belarus,92.11484
Belgium,91.54804
Belize,95.98029
Bolivia,98.22902
Botswana,96.12179
Brunei,119.28105
Bulgaria,97.84627
Burkina Faso,29.07386
Burundi,38.41644
Cambodia,90.70509
Cameroon,51.7478
Cape Verde,95.45072
Central African Republic,24.6121
Chile,89.15037
Colombia,113.52849
Comoros,64.2246
"Congo, Dem. Rep.",40.73085
"Congo, Rep.",73.75983
Costa Rica,93.9137
Cote d'Ivoire,38.87391
Croatia,100.83056
Cuba,91.74624
Cyprus,99.95973
Czech Republic,92.44537
Denmark,101.73883
Dominica,97.48892
Dominican Republic,93.67916
Ecuador,106.17944
Egypt,93.27361
El Salvador,90.53235
Eritrea,41.15218
Estonia,98.15987
Ethiopia,43.08178
Fiji,103.49723
Finland,98.42159
Gambia,73.26979
Georgia,92.07035
Germany,103.12148
Ghana,75.4757
Greece,100.49263
Grenada,98.22596
Guatemala,74.03614
Guinea,54.53389
Guyana,102.00366
"Hong Kong, China",101.19709
Hungary,95.01021
Iceland,96.95633
India,92.4569
Indonesia,101.14018
Iran,95.36778
Iraq,55.39513
Israel,104.9814
Italy,100.97996
Jamaica,85.36357
Jordan,104.2686
Kazakhstan,102.02182
Kiribati,104.27948
Kuwait,114.22918
Kyrgyz Republic,96.05342
Lao,72.74843
Latvia,92.05514
Lebanon,87.7129
Lesotho,81.54746
Liberia,63.13395
Liechtenstein,102.72727
Lithuania,95.97445
"Macao, China",96.8486
"Macedonia, FYR",92.85767
Madagascar,62.31528
Malawi,59.84461
Mali,40.1807
Malta,95.04831
Marshall Islands,119.12351
Mauritania,56.72536
Mauritius,95.6031
Mexico,104.13633
Moldova,92.87085
Mongolia,109.32974
Morocco,79.80282
Mozambique,39.04196
Myanmar,99.71613
Namibia,86.06281
Nicaragua,79.79047
Niger,31.58022
Nigeria,71.96312
Norway,97.51715
Pakistan,53.49888
Panama,98.46349
Paraguay,95.54136
Peru,103.34836
Philippines,94.67851
Qatar,97.81575
Romania,116.01544
Samoa,108.76242
Sao Tome and Principe,73.22154
Saudi Arabia,92.23329
Senegal,50.54852
Serbia,100.68998
Seychelles,120.59748
Slovak Republic,93.1476
South Korea,100.47021
Spain,98.64053
Sri Lanka,101.52506
St. Kitts and Nevis,94.73684
St. Lucia,101.02163
Suriname,80.92048
Swaziland,70.77358
Sweden,95.91131
Switzerland,93.77574
Syria,103.02075
Tajikistan,92.80384
Tanzania,81.36033
Trinidad and Tobago,93.38731
Tunisia,101.51381
Turkey,93.24417
Uganda,51.26265
Ukraine,102.17759
United States,101.44458
Uruguay,105.73136
Uzbekistan,96.42169
Vanuatu,83.37147
Venezuela,99.89733
West Bank and Gaza,86.80834
Zambia,86.88768
